ORGN CODE,INST,ORGN,WONR,FACIDNR,WOTITLE,WOSTATUS,WOSTATUSCODE,PIZZATRKRCODE,PIZZATRKRTITL,WO IND,TRKIND,DATE OPENED,TOTAL COST
501a,Lackland,802 SVS - COLLOCATED CLUB,29248,2490,ALARMS PR0JECT,WRRB,52,5,WRRB review,D,OPS CHIEF,20990819,0
220D,Randolph,902 MSG/SVBO,12403,500,INSTL CELL PHONE REPEATER,COORDINATE,24,5,WRRB review,D,CSU,20151210,0
900,Randolph,902 CES,T0273,1025,EVACUATION FAN INOP/CLORINE RM,AW SCHED,11,6,CE assignment ,J,HVAC,20151210,108.61
900,Randolph,902 CES,R9981,1058,EXTERMINATE MICE  HUGE MOUSE,AW SCHED,11,6,CE assignment ,J,PEST MGMT,20151130,472.26
220,Fort Sam Houston,DEF REUTIL&,295,4195,"ADD OUTLETS, CUT OFF EXCESS WI",COORDINATE,24,5,WRRB review,D,CSU,20151125,0
560,Randolph,AFSAT,R9800,857,2ND FLOOR WEST END REPLACE BRO,AW SCHED,11,6,CE assignment ,J,INT ELECT,20151119,0
504,Lackland,802  CES/CEH -,M7327,2020,RM 306 HEATER/AC BROKEN,AW SCHED,11,6,CE assignment ,J,HVAC,20151118,0
510,Fort Sam Houston,502D CIVIL E,M2497,0,PLAYGROUND-REMOVE UNSAFE EQUIP,AW SCHED,11,6,CE assignment ,J,PAVEMENTS,20151117,0
723,Randolph,571ST MX,12385,241,CHECK ALL SECURITY/EMER LIGHTS,COORDINATE,24,5,WRRB review,D,CSU,20151116,0
600,Fort Sam Houston,SAMMC/BAMC,M2161,3820,RM 3006A -2006A ROOM NEEDS TO,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20151106,0
501,Lackland,802 SVS,M6185,10207,REPR CEILING ABOVE VANITY,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20151102,331.31
501,Lackland,802 SVS,M5946,2449,RM 4102 SHOWER LEAKING.,AW SCHED,11,6,CE assignment ,J,INT PLUMB,20151030,55.22
222,Fort Sam Houston,711 PERFORMA,M1584,3260,REPLACE PH PROBE,MAT CHECK,34,2,Init. Review,J,MAT,20151027,429.36
210,Fort Sam Houston,MEDICAL EDUC,M1508,895,CLRM-20-402 AC INOP,AW SCHED,11,6,CE assignment ,J,HVAC,20151026,0
222,Randolph,902 MSG/SS,R9155,121,RM#242-ROOF LEAK IN BEDRM,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20151026,119.8
100,Fort Sam Houston,502D AIR BAS,M1216,2019,SURVEY FOR HVAC SYSTEM,AW SCHED,11,6,CE assignment ,J,HVAC,20151020,0
306,Lackland,344 TRS,M4836,10806,RM 227 HOLE IN WALL,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20151019,0
VACA,Lackland,VACANT,M4843,2041,REAIR PEPLACE BACKFLOW.,AW SCHED,11,6,CE assignment ,J,BACKFLOW,20151019,1544.42
200,Lackland,737 TRG,M4447,9310,SOME EMERGENCY LIGHTS INOP IN,AW SCHED,11,6,CE assignment ,J,INT ELECT,20151014,110.44
503,Lackland,802  CES,M4175,6588,UTILITY ROOM CLOSET 3RD FLOOR,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20151009,0
200,Lackland,737 TRG,M3956,9110,BATHROOM DIVIDER CAME OFF.,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20151007,29.74
400,Lackland,802 LRS,M3352,1178,"NEED SPARE SPRINKLER HEADS,WRE",AW SCHED,11,6,CE assignment ,J,BACKFLOW,20150930,133.83
503,Lackland,802  CES,45337,MULTI,DESIGN AND INSTALL (SCADA),COORDINATE,24,5,WRRB review,D,CSU,20150917,0
310,Randolph,559TH FTS,12295,64,REPAINT HANGER INTERIOR,WRRB,52,5,WRRB review,D,CSU,20150901,0
502,Lackland,AAFES,L9241,10345,"KITCHEN AREA, ROOF LEAK.",AW SCHED,11,6,CE assignment ,J,STRUCTURES,20150813,16.16
502,Lackland,AAFES,L8364,2306,SALE FLOOR TOO HOT,AW SCHED,11,6,CE assignment ,J,HVAC,20150804,0
304,Lackland,343 TRS,L8011,10652,REPLACE SHEETROCK IN MECH RM,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20150730,15.01
512,Fort Sam Houston,BASE WIDE IN,L6736,0,"IN SUPPORT OF LAFB, B-5206 WOR",AW SCHED,11,6,CE assignment ,J,STRUCTURES,20150723,0
206,Lackland,323 TRS,45149,6586,INSTALL LIGHT GUAGE,REVIEW,40,2,Init. Review,D,STRUCTURES,20150722,0
408,Randolph,902 MSG/LRD,R6403,172,REPLACE WINDOW BALLAST,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20150714,0
222,Fort Sam Houston,711 PERFORMA,L6145,3260,LOTS OF HUMIDITY IN WEST OUTDO,AW SCHED,11,6,CE assignment ,J,HVAC,20150713,1737.35
501,Lackland,802 SVS,45103,7214,CONSTRUCT 3 SEPARATE OFFICES,IN PROG,33,4,Accepted,Y,INT ELECT,20150709,1746.02
900,Randolph,902 CES,12170,891,RE-GRADE FOR DRAINAGE NEAR ENT,REVIEW,40,2,Init. Review,D,CSU,20150708,0
510,Fort Sam Houston,502D CIVIL E,L5762,1469,CABNNET BROKEN NEED TO REPLACE,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20150706,0
306,Lackland,344 TRS,L5504,126,RM 119-WINDOW BROKEN,IN PROG,33,4,Accepted,J,STRUCTURES,20150630,47.24
404,Randolph,12 FTW/MX,12152,5,"REMOVE OLD MORTAR, APPLY NEW M",AW WRRB,15,4,Accepted,D,CSU,20150626,0
510,Fort Sam Houston,502D CIVIL E,65408,5020,RPLC GENERATOR/AUTOMATIC SWITC,AW WRRB,15,4,Accepted,C,CSU,20150624,0
510,Fort Sam Houston,502D CIVIL E,65415,6149,RPLC GENERATOR/AUTOMATIC SWITC,AW WRRB,15,4,Accepted,C,CSU,20150624,0
510,Fort Sam Houston,502D CIVIL E,L5105,5384,EXT WALL ROTTING BACK OF BLDG,AW SCHED,11,6,CE assignment ,J,STRUCTURES,20150623,0
900,Randolph,902 CES,12120,100,HISTORIC AMERICAN BLDG SURVEY,AW WRRB,15,4,Accepted,C,CSU,20150615,0
520,Fort Sam Houston,502D FORCE S,65328,5107,REPLACE DOORS/FRAMES FRNT-REAR,AW WRRB,15,4,Accepted,D,CSU,20150528,0
900,Randolph,902 CES,55067,,FY15/CUSTODIAL CONTRACT/APR-06,CUSTOMER,25,2,Init. Review,S,SVS CNTRCT,20150513,680629.24
700,Fort Sam Houston,US ARMY NORT,65276,258,CBR-INSTL NEW CARPET SQUARES,CONTRACT,23,6,CE assignment ,C,PROGRAM,20150502,0
330,Randolph,12 OSS,R4159,738,RPLC 300 TON CENTRIFUGAL CHILL,MATL REQ,35,6,CE assignment ,A,HVAC,20150422,26843.05
502,Lackland,AAFES,K9242,1385,REPR FRONT ENTRY GATE LEADING,AW SCHED,11,6,CE assignment ,J,MAJOR PROJ,20150414,1678.12
900,Lackland,802 CES/UTILITY,K8634,1108,INSPECT PUMP AT LIFT STATION.,AW SCHED,11,6,CE assignment ,J,WTR PLANT,20150407,742.78
510,Fort Sam Houston,502D CIVIL E,65106,3199,8 NO SMOKING SIGNS,WRRB,52,5,WRRB review,D,CSU,20150306,0
312,Randolph,560TH FTS,11888,62,RPLC WINDOW FRONT SIDE,SCOPING,41,6,CE assignment ,D,STRUCTURES,20150227,0
580,Lackland,WHMC - ALL O,70553,4554,UPGRADE 3 MASTER METERS,REVIEW,40,2,Init. Review,C,PROGRAM,20150227,0
702,Lackland,AF ISR AGENCY,K3990,2019,REPLACE HANDICAP SIGN. THE SIG,IN PROG,33,4,Accepted,J,SIGNS,20150207,0
520,Fort Sam Houston,502D FORCE S,K7449,1720,OUTSIDE HOLES NEED FILLED WHER,IN PROG,33,4,Accepted,J,PAVEMENTS,20150127,0
402,Lackland,802 SUPS,K2092,5160,GAS LEAK HEATER BY DOOR #4,IN PROG,33,4,Accepted,J,AMU1,20150116,38.14
510,Fort Sam Houston,502D CIVIL E,64976,4061,RPLC KW GENERATOR/TRANSFER,COORDINATE,24,5,WRRB review,D,CSU,20150113,0
759,Fort Sam Houston,ARMY SUPPORT,64958,0,CONSTRUCT PLATFORM TS-8 RAPPEL,SCOPING,41,6,CE assignment ,D,STRUCTURES,20150107,0
520,Fort Sam Houston,502D FORCE S,K4864,320,LOW CHLORINE IN SWIMMING POOL,AW SCHED,11,6,CE assignment ,J,UTILITIES,20141124,0
